"","X","draw","alpha","beta","gamma","tau","cause_code","age_code"
"243",19243,243,60.05599259,0.000947602,0.406606143,2.739240902,"cvd_stroke",45
"244",19244,244,10.01113471,0.010877522,0.335837375,2.750761504,"cvd_stroke",45
"245",19245,245,14.65668018,0.003986064,0.408399821,2.960185319,"cvd_stroke",45
"246",19246,246,2.531825307,0.044082902,0.448791654,5.614885566,"cvd_stroke",45
"247",19247,247,10.20753975,0.004453848,0.438239676,4.042940531,"cvd_stroke",45
"248",19248,248,2.382732186,0.002037755,1.015444133,5.374465484,"cvd_stroke",45
"249",19249,249,3.327996865,0.022859657,0.434763478,2.747224425,"cvd_stroke",45
"250",19250,250,11.3221115,0.008165807,0.320623847,4.265981029,"cvd_stroke",45
"251",19251,251,5.290558008,0.013097978,0.425976334,5.146565638,"cvd_stroke",45
"252",19252,252,3.025088488,0.015192755,0.597347166,4.731988471,"cvd_stroke",45
"253",19253,253,41.03814799,0.001881594,0.347858629,4.401548179,"cvd_stroke",45
"254",19254,254,2.074542114,0.023946722,0.436691862,5.637355749,"cvd_stroke",45
"255",19255,255,2.310290087,0.021852784,0.527590838,4.651805499,"cvd_stroke",45
"256",19256,256,29.89352801,0.005500822,0.235405367,3.540600856,"cvd_stroke",45
"257",19257,257,2.202394464,0.013876693,0.665378409,3.036504065,"cvd_stroke",45
"258",19258,258,2.090031598,0.016716783,0.654782113,5.700045714,"cvd_stroke",45
"259",19259,259,125.1844666,0.001274588,0.27628575,4.022152297,"cvd_stroke",45
"260",19260,260,2.373929644,0.009625107,0.743270926,4.450054702,"cvd_stroke",45
"261",19261,261,2.386247998,0.008867262,0.657420916,3.72969466,"cvd_stroke",45
"262",19262,262,3.320042212,0.0368678,0.352310087,3.023161037,"cvd_stroke",45
"263",19263,263,74.07057562,0.001461756,0.323906085,5.717522515,"cvd_stroke",45
"264",19264,264,10.49751673,0.019066682,0.225558158,4.856752185,"cvd_stroke",45
"265",19265,265,28.60438162,0.003053133,0.348125586,5.304740403,"cvd_stroke",45
"266",19266,266,26.45250545,0.002790508,0.371648218,5.30737445,"cvd_stroke",45
"267",19267,267,3.655375056,0.025525265,0.37559673,4.980552515,"cvd_stroke",45
"268",19268,268,2.154843307,0.003449842,0.927648346,4.905812101,"cvd_stroke",45
"269",19269,269,4.303417829,0.031706344,0.313679116,3.733325951,"cvd_stroke",45
"270",19270,270,15.2456363,0.003031389,0.385226147,5.548963635,"cvd_stroke",45
"271",19271,271,10.75814075,0.010001975,0.342696023,3.54214976,"cvd_stroke",45
"272",19272,272,2.991341151,0.016360387,0.476419441,3.387677157,"cvd_stroke",45
"273",19273,273,2.389834608,0.012167142,0.608031046,5.842578522,"cvd_stroke",45
"274",19274,274,43.52093608,0.002707717,0.317709699,5.81175405,"cvd_stroke",45
"275",19275,275,6.118247771,0.004322548,0.481918858,2.958192139,"cvd_stroke",45
"276",19276,276,2.546048084,0.019698317,0.475528364,2.565646732,"cvd_stroke",45
"277",19277,277,2.25764404,0.00496877,0.742680187,4.443560742,"cvd_stroke",45
"278",19278,278,1.956817114,0.050404066,0.345116261,5.179094576,"cvd_stroke",45
"279",19279,279,3.655552738,0.013524027,0.435432079,5.682751258,"cvd_stroke",45
"280",19280,280,2.034441468,0.006546318,0.696218068,2.636851188,"cvd_stroke",45
"281",19281,281,1.795900932,0.021541111,0.588578422,5.725608604,"cvd_stroke",45
"282",19282,282,4.51993803,0.007256806,0.490722421,5.189580509,"cvd_stroke",45
"283",19283,283,2.902889642,0.051666833,0.367561811,3.913660662,"cvd_stroke",45
"284",19284,284,89.13935237,0.001256143,0.334311654,5.22341546,"cvd_stroke",45
"285",19285,285,49.45799279,0.003391355,0.255604987,4.81831554,"cvd_stroke",45
"286",19286,286,2.487979069,0.020339777,0.504234741,2.597027338,"cvd_stroke",45
"287",19287,287,3.050055367,0.003659925,0.615931639,2.812214949,"cvd_stroke",45
"288",19288,288,2.382860085,0.019462805,0.604189439,2.854617547,"cvd_stroke",45
"289",19289,289,54.74383884,0.001270748,0.386129266,5.100557735,"cvd_stroke",45
